datetime,PM2.5,AQI
2023-03-28 08:00:00,73,160
2023-03-29 09:00:00,63,155
2023-03-30 10:00:00,69,158
2023-03-31 11:00:00,72,160
2023-04-01 12:00:00,73,160
2023-04-02 13:00:00,74,161
2023-04-03 14:00:00,79,163
2023-04-04 15:00:00,66,156
2023-04-05 16:00:00,69,158
2023-04-06 17:00:00,51,139
2023-04-07 18:00:00,64,155
2023-04-07 18:00:00,69,158
2023-04-08 19:00:00,60,153
2023-04-09 20:00:00,49,134
2023-04-09 21:00:00,61,124
2023-04-09 22:00:00,59,124
2023-04-09 23:00:00,57,123
2023-04-10 00:00:00,57,123
2023-04-10 01:00:00,59,124
2023-04-10 02:00:00,62,126
2023-04-10 03:00:00,65,128
2023-04-10 04:00:00,67,130
2023-04-10 05:00:00,66,129
2023-04-10 06:00:00,65,129
2023-04-10 07:00:00,65,129
